PLAYER,TEAM,Age,GP,PTS,TRB,AST,BLK,Salary,TS%,Predicted_Salary,Valuation,Diff
Derrick White,BOS,30.0,65,16.7,4.4,4.4,1.1,18357143.0,0.605,26131952,Undervalued,7774809.0
Julius Randle,MIN,30.0,58,18.7,7.0,4.6,0.2,25660800.0,0.586,27091449,Fair,1430649.0
Scottie Barnes,TOR,23.0,55,19.7,7.8,5.9,1.0,8008680.0,0.527,24422156,Undervalued,16413476.0
Shaedon Sharpe,POR,21.0,62,17.5,4.2,2.6,0.2,6313800.0,0.549,13622890,Undervalued,7309090.0
OG Anunoby,NYK,27.0,63,16.7,4.8,2.1,0.9,18642857.0,0.574,21370697,Fair,2727840.0
Malik Monk,SAC,27.0,58,18.1,3.8,5.9,0.7,9945830.0,0.555,24464831,Undervalued,14519001.0
Luka Dončić,LAL,26.0,38,27.4,8.5,7.9,0.4,43031940.0,0.57,36158580,Overvalued,6873360.0
Christian Braun,DEN,23.0,68,15.1,5.0,2.4,0.5,2949120.0,0.658,13012924,Undervalued,10063804.0
Bennedict Mathurin,IND,22.0,63,16.3,5.4,1.9,0.4,6916080.0,0.586,13689265,Undervalued,6773185.0
Naz Reid,MIN,25.0,70,14.6,6.2,2.2,1.0,13986432.0,0.577,17289897,Fair,3303465.0
Cameron Johnson,BKN,29.0,53,18.9,4.3,3.2,0.5,8060533.0,0.635,25135835,Undervalued,17075302.0
Deni Avdija,POR,24.0,64,15.6,6.8,3.7,0.5,6263188.0,0.599,16820506,Undervalued,10557318.0
Collin Sexton,UTA,26.0,54,18.1,2.9,4.2,0.1,17325000.0,0.589,20077773,Fair,2752773.0
Ja Morant,MEM,25.0,43,22.3,4.1,7.4,0.3,33500000.0,0.56,27163351,Overvalued,6336649.0
Payton Pritchard,BOS,27.0,68,14.1,3.7,3.4,0.2,4037277.0,0.641,15801604,Undervalued,11764327.0
Andrew Wiggins,MIA,30.0,54,17.7,4.5,2.5,0.8,24330357.0,0.558,26272833,Fair,1942476.0
Myles Turner,IND,28.0,61,15.5,6.5,1.6,1.9,20975000.0,0.605,24397475,Fair,3422475.0
Jarrett Allen,CLE,26.0,69,13.6,10.1,1.9,0.9,20000000.0,0.723,16852752,Fair,3147248.0
Stephon Castle,SAS,20.0,67,14.0,3.2,3.5,0.2,9105120.0,0.52,8845595,Fair,259525.0
Keyonte George,UTA,21.0,55,16.9,3.8,5.8,0.2,4084265.0,0.545,14975470,Undervalued,10891205.0
De'Andre Hunter,CLE,27.0,53,17.5,4.0,1.5,0.2,20089286.0,0.629,19415859,Fair,673427.0
Dillon Brooks,HOU,29.0,66,14.0,3.9,1.8,0.2,22255493.0,0.547,18164827,Fair,4090666.0
Josh Hart,NYK,30.0,66,14.0,9.6,5.7,0.4,12960000.0,0.622,23354225,Undervalued,10394225.0
Tobias Harris,DET,32.0,66,13.9,6.1,2.2,0.8,39270150.0,0.568,24109181,Overvalued,15160969.0
Paolo Banchero,ORL,22.0,36,25.2,7.2,4.8,0.7,11608080.0,0.547,28277486,Undervalued,16669406.0
Kelly Oubre Jr.,PHI,29.0,60,15.1,6.1,1.8,0.5,7983000.0,0.551,21319982,Undervalued,13336982.0
Dyson Daniels,ATL,22.0,64,14.1,5.6,4.2,0.7,5784120.0,0.537,13983922,Undervalued,8199802.0
Jaden McDaniels,MIN,24.0,71,12.6,6.0,2.1,0.9,3901399.0,0.571,13541005,Undervalued,9639606.0
Lauri Markkanen,UTA,27.0,47,19.0,5.9,1.5,0.4,17259999.0,0.571,23200104,Undervalued,5940105.0
Klay Thompson,DAL,35.0,61,14.4,3.6,2.1,0.5,43219440.0,0.556,26562708,Overvalued,16656732.0
Quentin Grimes,PHI,24.0,65,13.4,4.2,2.6,0.3,2385720.0,0.609,12125065,Undervalued,9739345.0
Brook Lopez,MIL,36.0,68,12.6,5.0,1.7,1.9,23000000.0,0.617,29390047,Undervalued,6390047.0
Dennis Schröder,DET,31.0,64,13.3,2.5,5.3,0.2,13025250.0,0.54,21283203,Undervalued,8257953.0
Josh Giddey,CHI,22.0,61,13.9,7.7,6.7,0.6,6587040.0,0.57,15403360,Undervalued,8816320.0
Devin Vassell,SAS,24.0,53,16.0,3.9,2.9,0.6,5887899.0,0.541,17200221,Undervalued,11312322.0
Amen Thompson,HOU,22.0,60,14.0,8.3,3.6,1.2,9249748.0,0.601,15604567,Undervalued,6354819.0
Bradley Beal,PHX,31.0,48,17.3,3.4,3.6,0.5,46741590.0,0.606,26088241,Overvalued,20653349.0
