PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,TRB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,Age,TS%,Salary
1630578,30,Alperen Sengun,1610612745,HOU,66,2072,496,989,0.502,21,85,0.247,253,364,0.695,231,461,10.5,4.9,74,0.8,176,192,19.2,1626,1.83,0.42,22.0,0.551,3536280.0
1629632,31,Coby White,1610612741,CHI,63,2093,423,962,0.44,185,519,0.356,215,238,0.903,21,204,3.6,4.5,59,0.2,146,137,19.8,1116,1.93,0.4,25.0,0.584,9942113.0
202681,32,Kyrie Irving,1610612742,DAL,50,1804,447,945,0.473,144,359,0.401,196,214,0.916,60,180,4.8,4.6,66,0.5,111,101,24.7,1167,2.08,0.59,32.0,0.594,41000000.0
1629008,33,Michael Porter Jr.,1610612743,DEN,67,2259,463,922,0.502,167,422,0.396,127,168,0.756,121,346,7.0,2.1,44,0.4,85,131,18.2,1317,1.67,0.52,26.0,0.612,
1628969,34,Mikal Bridges,1610612752,NYK,69,2596,497,1000,0.497,143,408,0.35,76,97,0.784,61,161,3.2,3.6,65,0.5,108,100,17.6,1150,2.27,0.6,28.0,0.582,21700000.0
1630532,35,Franz Wagner,1610612753,ORL,50,1691,447,967,0.462,86,286,0.301,232,270,0.859,49,232,5.6,4.7,66,0.4,123,129,24.2,1132,1.91,0.54,23.0,0.558,5508720.0
1630559,36,Austin Reaves,1610612747,LAL,61,2112,386,863,0.447,160,439,0.364,264,302,0.874,50,224,4.5,6.0,71,0.3,147,121,19.6,1262,2.48,0.48,26.0,0.6,12976362.0
1629673,37,Jordan Poole,1610612764,WAS,58,1758,387,921,0.42,199,537,0.371,212,242,0.876,28,157,3.2,4.6,80,0.4,183,176,20.4,998,1.47,0.44,25.0,0.577,27955357.0
1628389,38,Bam Adebayo,1610612748,MIA,67,2309,456,937,0.487,56,179,0.313,213,279,0.763,167,493,9.9,4.3,85,0.7,144,146,17.6,1574,2.02,0.59,27.0,0.557,32600060.0
202696,39,Nikola Vučević,1610612741,CHI,62,1968,473,890,0.531,113,282,0.401,103,128,0.805,143,483,10.1,3.4,50,0.7,101,147,18.7,1547,2.09,0.49,34.0,0.614,20000000
1630596,40,Evan Mobley,1610612739,CLE,61,1848,443,775,0.572,69,183,0.377,191,259,0.737,138,426,9.2,3.0,52,1.5,123,124,18.8,1517,1.51,0.42,23.0,0.645,8882640.0
