PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,Age,TS%,SALARY
202681,32,Kyrie Irving,1610612742,DAL,50,1804,447,945,0.473,144,359,0.401,196,214,0.916,60,180,240,231,66,23,111,101,1234,1167,2.08,0.59,32.0,0.594,0
1629008,33,Michael Porter Jr.,1610612743,DEN,67,2259,463,922,0.502,167,422,0.396,127,168,0.756,121,346,467,142,44,29,85,131,1220,1317,1.67,0.52,26.0,0.612,
1628969,34,Mikal Bridges,1610612752,NYK,69,2596,497,1000,0.497,143,408,0.35,76,97,0.784,61,161,222,245,65,37,108,100,1213,1150,2.27,0.6,28.0,0.582,21700000 
1630532,35,Franz Wagner,1610612753,ORL,50,1691,447,967,0.462,86,286,0.301,232,270,0.859,49,232,281,235,66,19,123,129,1212,1132,1.91,0.54,23.0,0.558,5508720 
1630559,36,Austin Reaves,1610612747,LAL,61,2112,386,863,0.447,160,439,0.364,264,302,0.874,50,224,274,365,71,18,147,121,1196,1262,2.48,0.48,26.0,0.6,0 
1629673,37,Jordan Poole,1610612764,WAS,58,1758,387,921,0.42,199,537,0.371,212,242,0.876,28,157,185,269,80,26,183,176,1185,998,1.47,0.44,25.0,0.577,27955357 
1628389,38,Bam Adebayo,1610612748,MIA,67,2309,456,937,0.487,56,179,0.313,213,279,0.763,167,493,660,291,85,48,144,146,1181,1574,2.02,0.59,27.0,0.557,32600060 
202696,39,Nikola Vučević,1610612741,CHI,62,1968,473,890,0.531,113,282,0.401,103,128,0.805,143,483,626,211,50,41,101,147,1162,1547,2.09,0.49,34.0,0.614,
1630596,40,Evan Mobley,1610612739,CLE,61,1848,443,775,0.572,69,183,0.377,191,259,0.737,138,426,564,186,52,92,123,124,1146,1517,1.51,0.42,23.0,0.645,8882640 
1630169,41,Tyrese Haliburton,1610612754,IND,62,2107,401,858,0.467,186,481,0.387,157,183,0.858,36,183,219,561,94,37,104,79,1145,1469,5.39,0.9,25.0,0.61,5808435 
1630163,42,LaMelo Ball,1610612766,CHA,45,1442,391,971,0.403,174,514,0.339,185,221,0.837,46,182,228,326,52,13,158,148,1141,986,2.06,0.33,23.0,0.534,10900635 
1627736,43,Malik Beasley,1610612765,DET,70,1919,396,901,0.44,272,649,0.419,73,113,0.646,39,150,189,120,67,4,77,108,1137,895,1.56,0.87,28.0,0.598,16524106 
1628970,44,Miles Bridges,1610612766,CHA,54,1747,409,931,0.439,125,380,0.329,190,219,0.868,59,364,423,209,40,40,114,83,1133,1180,1.83,0.35,27.0,0.551,
203468,45,CJ McCollum,1610612740,NOP,54,1767,422,957,0.441,165,440,0.375,119,166,0.717,41,164,205,217,41,24,98,120,1128,935,2.21,0.42,33.0,0.548,35802469 
1630530,46,Trey Murphy III,1610612740,NOP,53,1854,381,839,0.454,158,438,0.361,204,230,0.887,47,221,268,188,56,39,103,112,1124,1088,1.82,0.54,24.0,0.598,
1629628,47,RJ Barrett,1610612761,TOR,52,1713,418,885,0.472,98,273,0.359,183,282,0.649,53,283,336,294,42,15,154,128,1117,1084,1.91,0.27,24.0,0.553,23883929 
1641705,48,Victor Wembanyama,1610612759,SAS,46,1527,408,857,0.476,142,403,0.352,158,189,0.836,82,424,506,168,52,176,149,105,1116,1389,1.13,0.35,21.0,0.594,
1627734,49,Domantas Sabonis,1610612758,SAC,58,2016,437,737,0.593,57,134,0.425,181,242,0.748,223,581,804,361,37,23,170,193,1112,1806,2.12,0.22,28.0,0.659,22000000 
1626181,49,Norman Powell,1610612746,LAC,48,1560,386,788,0.49,153,362,0.423,187,227,0.824,17,146,163,102,61,8,95,90,1112,909,1.07,0.64,31.0,0.626,18000000 
203076,51,Anthony Davis,1610612742,DAL,43,1470,410,776,0.528,30,96,0.313,257,327,0.786,123,392,515,148,54,93,94,82,1107,1387,1.57,0.57,32.0,0.602,40600080 
1630217,51,Desmond Bane,1610612763,MEM,58,1839,411,845,0.486,132,338,0.391,153,174,0.879,55,309,364,317,69,25,148,142,1107,1279,2.14,0.47,26.0,0.601,3845083 
1627826,53,Ivica Zubac,1610612746,LAC,67,2187,488,781,0.625,0,0,0.0,122,193,0.632,252,590,842,172,49,78,111,145,1098,1764,1.55,0.44,28.0,0.634,10933333 
1628401,54,Derrick White,1610612738,BOS,65,2199,369,835,0.442,228,590,0.386,119,140,0.85,56,227,283,285,61,69,106,120,1085,1190,2.69,0.57,30.0,0.605,18357143 
203944,54,Julius Randle,1610612750,MIN,58,1870,378,792,0.477,85,259,0.328,244,303,0.805,124,284,408,269,39,13,168,146,1085,1173,1.6,0.23,30.0,0.586,25660800 
1630567,56,Scottie Barnes,1610612761,TOR,55,1855,405,908,0.446,65,243,0.267,208,270,0.77,92,339,431,324,83,56,160,103,1083,1252,2.02,0.52,23.0,0.527,8008680 
1631101,57,Shaedon Sharpe,1610612757,POR,62,1888,405,902,0.449,122,388,0.314,150,188,0.798,54,204,258,163,48,14,125,105,1082,905,1.3,0.38,21.0,0.549,6313800 
1628384,58,OG Anunoby,1610612752,NYK,63,2312,386,839,0.46,139,386,0.36,142,177,0.802,85,219,304,135,92,57,84,148,1053,1069,1.61,1.09,27.0,0.574,18642857 
1628370,59,Malik Monk,1610612758,SAC,58,1902,387,871,0.444,130,398,0.327,143,164,0.872,29,193,222,341,58,38,139,148,1047,1062,2.45,0.42,27.0,0.555,9945830 
1629029,60,Luka Dončić,1610612747,LAL,38,1335,346,787,0.44,128,367,0.349,223,290,0.769,32,291,323,300,75,17,144,100,1043,1106,2.08,0.52,26.0,0.57,
1631128,61,Christian Braun,1610612743,DEN,68,2271,400,698,0.573,73,188,0.388,154,188,0.819,83,259,342,165,75,35,67,145,1027,1245,2.46,1.12,23.0,0.658,2949120 
1631097,62,Bennedict Mathurin,1610612754,IND,63,1913,354,756,0.468,93,256,0.363,224,269,0.833,76,267,343,118,38,23,118,145,1025,982,1.0,0.32,22.0,0.586,6916080 
1629675,63,Naz Reid,1610612750,MIN,70,1959,380,827,0.459,160,415,0.386,101,131,0.771,82,349,431,155,55,68,96,172,1021,1157,1.61,0.57,25.0,0.577,0 
1629661,64,Cameron Johnson,1610612751,BKN,53,1689,333,699,0.476,153,384,0.398,185,209,0.885,50,177,227,168,51,25,89,100,1004,996,1.89,0.57,29.0,0.635,8060533 
1630166,65,Deni Avdija,1610612757,POR,64,1867,324,693,0.468,103,286,0.36,246,317,0.776,84,352,436,236,58,32,166,150,997,1153,1.42,0.35,24.0,0.599,6263188 
1629012,66,Collin Sexton,1610612762,UTA,54,1510,348,734,0.474,95,236,0.403,185,214,0.864,57,99,156,229,35,5,142,119,976,844,1.61,0.25,26.0,0.589,17325000 
1629630,67,Ja Morant,1610612763,MEM,43,1291,329,733,0.449,66,227,0.291,236,283,0.834,25,150,175,320,53,11,161,95,960,907,1.99,0.33,25.0,0.56,33500000 
1630202,68,Payton Pritchard,1610612738,BOS,68,1914,335,714,0.469,223,533,0.418,64,75,0.853,89,165,254,228,60,13,64,102,957,1058,3.56,0.94,27.0,0.641,4037277 
203952,69,Andrew Wiggins,1610612748,MIA,54,1666,331,754,0.439,115,316,0.364,179,232,0.772,81,162,243,134,51,44,85,91,956,867,1.58,0.6,30.0,0.558,24330357 
1626167,70,Myles Turner,1610612754,IND,61,1870,332,696,0.477,129,330,0.391,153,195,0.785,76,319,395,99,50,115,107,159,946,1092,0.93,0.47,28.0,0.605,20975000 
1628386,71,Jarrett Allen,1610612739,CLE,69,1981,381,543,0.702,0,3,0.0,173,236,0.733,183,515,698,134,67,65,80,109,935,1594,1.68,0.84,26.0,0.723,20000000 
1642264,71,Stephon Castle,1610612759,SAS,67,1727,337,787,0.428,79,273,0.289,182,254,0.717,65,149,214,235,62,16,134,136,935,806,1.75,0.46,20.0,0.52,
1641718,73,Keyonte George,1610612762,UTA,55,1722,298,748,0.398,144,416,0.346,189,236,0.801,21,186,207,319,40,9,154,94,929,853,2.07,0.26,21.0,0.545,
1629631,74,De'Andre Hunter,1610612739,CLE,53,1466,296,633,0.468,134,324,0.414,199,233,0.854,38,174,212,77,37,9,70,129,925,819,1.1,0.53,27.0,0.629,20089286 
1628415,75,Dillon Brooks,1610612745,HOU,66,2134,335,795,0.421,163,413,0.395,91,111,0.82,73,183,256,117,52,14,67,224,924,816,1.75,0.78,29.0,0.547,0 
1628404,76,Josh Hart,1610612752,NYK,66,2491,354,664,0.533,74,218,0.339,141,178,0.792,142,494,636,379,98,26,137,170,923,1578,2.77,0.71,30.0,0.622,12960000 
202699,77,Tobias Harris,1610612765,DET,66,2122,351,739,0.475,81,240,0.338,133,154,0.864,61,341,402,143,61,53,73,121,916,1093,1.96,0.84,32.0,0.568,39270150 
1631094,78,Paolo Banchero,1610612753,ORL,36,1234,311,699,0.445,70,214,0.327,217,301,0.721,40,219,259,171,30,25,101,78,909,821,1.69,0.3,22.0,0.547,11608080 
1626162,79,Kelly Oubre Jr.,1610612755,PHI,60,2078,348,741,0.47,71,242,0.293,139,185,0.751,97,271,368,108,92,30,80,180,906,985,1.35,1.15,29.0,0.551,
1630700,80,Dyson Daniels,1610612737,ATL,64,2166,379,782,0.485,68,197,0.345,74,126,0.587,103,257,360,272,194,47,124,157,900,1194,2.19,1.56,22.0,0.537,5784120 
1630183,81,Jaden McDaniels,1610612750,MIN,71,2296,354,734,0.482,94,277,0.339,93,112,0.83,116,308,424,149,102,63,80,204,895,1154,1.86,1.27,24.0,0.571,3901399 
1628374,82,Lauri Markkanen,1610612762,UTA,47,1476,296,700,0.423,138,399,0.346,162,185,0.876,72,206,278,70,33,17,66,79,892,797,1.06,0.5,27.0,0.571,17259999 
202691,83,Klay Thompson,1610612742,DAL,61,1691,317,764,0.415,189,475,0.398,57,63,0.905,42,177,219,131,46,28,81,75,880,770,1.62,0.57,35.0,0.556,43219440 
1629656,84,Quentin Grimes,1610612755,PHI,65,1667,312,647,0.482,131,330,0.397,117,157,0.745,51,223,274,171,61,21,109,119,872,915,1.57,0.56,24.0,0.609,2385720 
201572,85,Brook Lopez,1610612749,MIL,68,2158,319,643,0.496,120,324,0.37,97,114,0.851,92,247,339,115,45,128,69,148,855,1072,1.67,0.65,36.0,0.617,0 
203471,86,Dennis Schröder,1610612765,DET,64,1752,296,714,0.415,116,329,0.353,144,171,0.842,20,143,163,339,60,12,124,152,852,857,2.73,0.48,31.0,0.54,
1630581,87,Josh Giddey,1610612741,CHI,61,1812,314,673,0.467,91,241,0.378,131,166,0.789,104,363,467,409,67,39,166,104,850,1272,2.46,0.4,22.0,0.57,6587040 
1630170,88,Devin Vassell,1610612759,SAS,53,1635,321,737,0.436,121,344,0.352,85,107,0.794,30,176,206,152,67,32,71,87,848,796,2.14,0.94,24.0,0.541,5887899 
1641708,89,Amen Thompson,1610612745,HOU,60,1952,331,599,0.553,20,78,0.256,158,228,0.693,166,334,500,218,79,75,126,140,840,1248,1.73,0.63,22.0,0.601,
203078,90,Bradley Beal,1610612756,PHX,48,1545,318,630,0.505,92,233,0.395,104,128,0.813,33,131,164,174,49,25,92,123,832,816,1.89,0.53,31.0,0.606,46741590 
201566,91,Russell Westbrook,1610612743,DEN,63,1777,315,690,0.457,83,244,0.34,113,177,0.638,95,227,322,396,89,32,196,157,826,1030,2.02,0.45,36.0,0.538,0 
1629640,92,Keldon Johnson,1610612759,SAS,65,1545,305,633,0.482,76,230,0.33,127,166,0.765,89,212,301,99,41,15,62,98,813,840,1.6,0.66,25.0,0.576,20000000 
1631099,93,Keegan Murray,1610612758,SAC,66,2291,314,712,0.441,129,384,0.336,55,66,0.833,132,315,447,98,52,56,56,169,812,1000,1.75,0.93,24.0,0.548,8409000 
203084,94,Harrison Barnes,1610612759,SAS,68,1848,277,546,0.507,119,276,0.431,128,165,0.776,91,171,262,113,24,13,39,61,801,868,2.9,0.61,32.0,0.647,0 
1630168,95,Onyeka Okongwu,1610612737,ATL,62,1657,315,551,0.572,33,106,0.311,134,179,0.749,188,343,531,137,57,60,65,153,797,1236,2.11,0.88,24.0,0.633,8109063 
1627741,96,Buddy Hield,1610612744,GSW,70,1613,285,684,0.417,175,475,0.368,46,57,0.807,41,187,228,122,61,21,85,113,791,728,1.44,0.72,32.0,0.558,19279841 
1630598,97,Aaron Wiggins,1610612760,OKC,68,1535,309,628,0.492,114,294,0.388,57,69,0.826,75,184,259,117,52,18,58,86,789,846,2.02,0.9,26.0,0.599,1836096 
1630703,98,Scoot Henderson,1610612757,POR,62,1662,271,642,0.422,97,272,0.357,149,193,0.772,48,142,190,313,67,13,167,171,788,789,1.87,0.4,21.0,0.542,
1641711,99,Gradey Dick,1610612761,TOR,54,1587,265,647,0.41,114,326,0.35,133,155,0.858,44,149,193,98,48,10,83,120,777,639,1.18,0.58,21.0,0.543,
1628398,100,Kyle Kuzma,1610612749,MIL,52,1549,296,697,0.425,72,252,0.286,103,164,0.628,41,271,312,120,29,11,115,94,767,662,1.04,0.25,29.0,0.499,13000000 
1631105,101,Jalen Duren,1610612765,DET,67,1736,317,456,0.695,0,0,0.0,132,193,0.684,230,458,688,170,48,77,117,217,766,1432,1.45,0.41,21.0,0.708,4330680 
1629660,102,Ty Jerome,1610612739,CLE,64,1262,276,549,0.503,94,225,0.418,117,135,0.867,46,115,161,213,74,1,83,94,763,838,2.57,0.89,27.0,0.627,1761752 
1628381,103,John Collins,1610612762,UTA,40,1221,280,531,0.527,59,148,0.399,139,164,0.848,89,238,327,80,39,40,103,116,758,865,0.78,0.38,27.0,0.628,25340000 
1627751,104,Jakob Poeltl,1610612761,TOR,53,1579,331,533,0.621,1,3,0.333,94,139,0.676,175,333,508,150,63,64,102,169,757,1193,1.47,0.62,29.0,0.637,0 
1642377,105,Jaylen Wells,1610612763,MEM,70,1817,264,616,0.429,126,352,0.358,94,116,0.81,76,152,228,116,39,8,65,130,748,700,1.78,0.6,21.0,0.561,
202685,106,Jonas Valančiūnas,1610612758,SAC,68,1355,305,562,0.543,8,33,0.242,126,145,0.869,172,388,560,150,34,45,110,151,744,1147,1.36,0.31,32.0,0.594,
1629130,107,Duncan Robinson,1610612748,MIA,66,1624,262,600,0.437,170,437,0.389,44,50,0.88,16,137,153,164,37,5,79,126,738,674,2.08,0.47,30.0,0.593,18154000 
1642258,108,Zaccharie Risacher,1610612737,ATL,62,1520,277,625,0.443,96,274,0.35,87,121,0.719,76,156,232,76,47,31,79,117,737,662,0.96,0.59,19.0,0.543,
1629627,108,Zion Williamson,1610612740,NOP,30,857,288,508,0.567,3,13,0.231,158,241,0.656,76,140,216,159,37,27,90,82,737,783,1.77,0.41,24.0,0.6,33500000 
202710,110,Jimmy Butler III,1610612744,GSW,43,1346,233,472,0.494,22,73,0.301,247,298,0.829,99,144,243,236,50,16,60,44,735,930,3.93,0.83,35.0,0.609,
1630230,111,Naji Marshall,1610612742,DAL,57,1526,285,575,0.496,52,189,0.275,107,129,0.829,64,206,270,164,60,8,89,87,729,830,1.84,0.67,27.0,0.577,1930681 
1641731,112,Bilal Coulibaly,1610612764,WAS,59,1948,263,624,0.421,63,224,0.281,138,185,0.746,91,203,294,199,78,41,125,139,727,806,1.59,0.62,20.0,0.515,
203915,112,Spencer Dinwiddie,1610612742,DAL,68,1781,237,574,0.413,93,278,0.335,160,197,0.812,15,151,166,266,58,14,80,104,727,777,3.33,0.72,31.0,0.55,20357143 
1641739,114,Toumani Camara,1610612757,POR,67,2196,270,592,0.456,107,287,0.373,79,108,0.731,152,238,390,147,98,44,98,204,726,956,1.5,1.0,24.0,0.568,
1627832,115,Fred VanVleet,1610612745,HOU,51,1792,248,653,0.38,134,394,0.34,94,114,0.825,30,176,206,288,83,23,75,122,724,824,3.84,1.11,31.0,0.515,22824074 
1626145,116,Tyus Jones,1610612756,PHX,69,1929,261,586,0.445,145,343,0.423,49,55,0.891,34,131,165,390,59,7,86,59,716,920,4.54,0.69,28.0,0.587,14000000 
1629023,117,P.J. Washington,1610612742,DAL,49,1585,256,581,0.441,76,207,0.367,124,169,0.734,77,320,397,112,57,50,95,118,712,863,1.18,0.6,26.0,0.543,
1630557,118,Corey Kispert,1610612764,WAS,61,1602,255,565,0.451,120,330,0.364,75,88,0.852,36,145,181,103,26,14,64,98,705,642,1.61,0.41,26.0,0.584,3722040 
1626156,119,D'Angelo Russell,1610612751,BKN,54,1393,240,607,0.395,107,339,0.316,117,140,0.836,18,132,150,281,52,22,100,109,704,719,2.81,0.52,29.0,0.526,0 
1630553,120,Keon Johnson,1610612751,BKN,68,1630,250,667,0.375,104,341,0.305,85,110,0.773,59,195,254,137,72,27,87,176,689,650,1.57,0.83,23.0,0.482,2808720 
1630583,121,Santi Aldama,1610612763,MEM,54,1352,269,550,0.489,98,260,0.377,51,73,0.699,85,274,359,151,42,29,53,57,687,912,2.85,0.79,24.0,0.59,
203501,121,Tim Hardaway Jr.,1610612765,DET,66,1848,226,565,0.4,137,381,0.36,98,118,0.831,16,145,161,105,35,6,44,80,687,591,2.39,0.8,33.0,0.557,
1630552,123,Jalen Johnson,1610612737,ATL,36,1284,271,542,0.5,44,141,0.312,94,126,0.746,62,297,359,181,56,36,106,67,680,903,1.71,0.53,23.0,0.569,2925360 
1630167,124,Obi Toppin,1610612754,IND,66,1288,257,483,0.532,83,234,0.355,81,101,0.802,48,219,267,104,42,22,57,89,678,810,1.82,0.74,27.0,0.643,6803012 
203924,125,Jerami Grant,1610612757,POR,47,1524,214,574,0.373,108,296,0.365,141,166,0.849,26,137,163,101,41,46,65,109,677,578,1.55,0.63,31.0,0.523,0 
1629599,126,Amir Coffey,1610612746,LAC,67,1698,234,497,0.471,99,240,0.413,108,119,0.908,32,123,155,75,38,7,42,117,675,634,1.79,0.91,27.0,0.614,3666667 
1627884,127,Derrick Jones Jr.,1610612746,LAC,64,1585,267,506,0.528,66,182,0.363,71,100,0.71,80,142,222,49,69,25,57,129,671,711,0.86,1.21,28.0,0.61,
1629018,127,Gary Trent Jr.,1610612749,MIL,62,1543,234,534,0.438,146,347,0.421,57,67,0.851,16,127,143,73,61,4,37,109,671,605,1.97,1.65,26.0,0.595,
1642259,129,Alex Sarr,1610612764,WAS,53,1424,249,629,0.396,87,265,0.328,85,128,0.664,104,249,353,124,36,81,77,120,670,764,1.61,0.47,19.0,0.489,
202331,130,Paul George,1610612755,PHI,41,1334,245,570,0.43,96,268,0.358,79,97,0.814,24,195,219,178,75,20,106,101,665,708,1.68,0.71,34.0,0.543,45640084 
1629060,130,Rui Hachimura,1610612747,LAL,50,1605,253,500,0.506,84,205,0.41,75,98,0.765,73,188,261,75,40,24,44,91,665,751,1.71,0.91,27.0,0.612,8486619 
203497,132,Rudy Gobert,1610612750,MIN,61,1995,258,394,0.655,0,0,0.0,147,217,0.677,212,413,625,109,44,92,78,147,663,1249,1.4,0.56,32.0,0.677,41000000 
1629638,133,Nickeil Alexander-Walker,1610612750,MIN,71,1784,233,529,0.44,123,316,0.389,72,92,0.783,43,184,227,179,45,26,87,121,661,735,2.06,0.52,26.0,0.58,7073602 
1626179,134,Terry Rozier,1610612748,MIA,59,1571,241,608,0.396,88,293,0.3,90,105,0.857,40,182,222,157,35,14,76,73,660,630,2.07,0.46,31.0,0.504,23205221 
1627824,135,Guerschon Yabusele,1610612755,PHI,63,1671,240,484,0.496,94,241,0.39,85,115,0.739,117,232,349,125,51,22,80,151,659,852,1.56,0.64,29.0,0.616,
204001,136,Kristaps Porziņģis,1610612738,BOS,34,987,224,464,0.483,79,202,0.391,128,158,0.81,52,180,232,65,28,55,42,92,655,723,1.55,0.67,29.0,0.614,
1630577,137,Julian Champagnie,1610612759,SAS,68,1576,221,534,0.414,140,388,0.361,64,71,0.901,57,200,257,92,53,29,60,93,646,697,1.53,0.88,23.0,0.571,1761752 
1627777,138,Georges Niang,1610612737,ATL,67,1464,236,514,0.459,131,331,0.396,40,50,0.8,45,207,252,96,24,13,62,169,643,678,1.55,0.39,31.0,0.6,0 
1642261,139,Dalton Knecht,1610612747,LAL,66,1373,233,507,0.46,114,310,0.368,60,80,0.75,32,165,197,62,23,6,34,86,640,600,1.82,0.68,23.0,0.59,
1631108,140,Max Christie,1610612742,DAL,66,1804,214,495,0.432,100,267,0.375,105,124,0.847,32,180,212,127,53,28,70,108,633,683,1.81,0.76,22.0,0.576,1719864 
1626171,141,Bobby Portis,1610612749,MIL,46,1160,258,557,0.463,60,165,0.364,55,67,0.821,83,300,383,102,31,25,56,87,631,805,1.82,0.55,30.0,0.538,11710818 
1630590,141,Scotty Pippen Jr.,1610612763,MEM,68,1398,232,496,0.468,66,182,0.363,101,142,0.711,55,168,223,292,89,25,114,167,631,841,2.56,0.78,24.0,0.565,
1629655,143,Daniel Gafford,1610612742,DAL,51,1115,253,362,0.699,0,0,0.0,121,173,0.699,139,211,350,73,21,96,61,136,627,945,1.2,0.34,26.0,0.716,12402000 
1642267,144,Bub Carrington,1610612764,WAS,68,1982,231,577,0.4,107,320,0.334,54,65,0.831,29,243,272,280,48,15,109,157,623,772,2.57,0.44,19.0,0.514,
1627747,145,Caris LeVert,1610612737,ATL,52,1294,222,469,0.473,89,226,0.394,84,117,0.718,31,130,161,175,47,27,63,76,617,684,2.78,0.75,30.0,0.593,0 
1630592,145,Jalen Wilson,1610612751,BKN,69,1766,205,522,0.393,95,299,0.318,112,135,0.83,67,152,219,123,35,3,73,143,617,584,1.69,0.48,24.0,0.531,
